timestamp,cpu_percent,memory_percent,disk_percent
2024-04-10 16:06:29,60.9,74.9,19.1
2024-04-10 16:09:15,15.6,74.6,19.1
2024-04-10 16:09:45,13.5,74.8,19.1
2024-04-10 16:10:41,15.9,75.6,19.1
2024-04-10 16:10:42,13.3,75.0,19.1
2024-04-10 16:10:44,18.7,75.1,19.1
2024-04-10 16:10:45,11.9,75.0,19.1
